state,week,mean_contact,weighted_variance,nb.mu,nb.mu.se,nb.k,nb.k.se,nb.llk,nb.aic,n,prob_zero
AK,2020-05-03,8.310058804218407,134.73350551253722,6.792588869569478,0.3574856616876089,0.41189418320061993,0.02155210005542382,-2618.0413755703357,5240.0827511406715,930,0.3076740291361388
AK,2020-05-10,8.798347733199991,157.86886490649016,7.9246064324887175,0.3546908932771204,0.4812575105558716,0.022394921275339322,-3309.174308727658,6622.348617455316,1100,0.252452451869012
AK,2020-05-17,9.25482114236897,190.6443924806696,8.957549541581,0.35639207089416197,0.4671739193069655,0.018831348575354793,-4419.904823879157,8843.809647758315,1422,0.24571752345348188
AK,2020-05-24,9.634899674947128,217.56735771220153,9.37138880920138,0.367266633760813,0.4906336697525847,0.019871726925235457,-4422.350797200482,8848.701594400964,1396,0.22940451577326976
AK,2020-05-31,9.913801111600131,212.67569997907017,9.234870454614157,0.3919413129067486,0.44583984895103324,0.018796112532453172,-4069.8270486114084,8143.654097222817,1305,0.25353226616038543
AK,2020-06-07,10.066581621329423,222.87045392088055,10.24147849231013,0.4089979093360114,0.5269338288717997,0.022153210226256777,-4094.062470100602,8192.124940201204,1251,0.2039427314520977
AK,2020-06-14,10.175262144583593,201.76311378488737,9.138947962580227,0.4074514816201929,0.4732264495873548,0.021548843902810706,-3502.243449125975,7008.48689825195,1118,0.24051206378276196
AK,2020-06-21,10.125638083850593,199.6578083727034,9.399357601713062,0.44597509122110085,0.500931483856673,0.024815103912682445,-2968.296912364836,5940.593824729672,934,0.22431491146450436
AK,2020-06-28,9.996854728848497,208.04636912595652,9.292525280283535,0.42348202062771695,0.4865642030599955,0.022783885915096613,-3288.5812124525128,6581.1624249050255,1042,0.2322361573658684
AK,2020-07-05,9.863732284404561,184.82970208432565,9.036993276999908,0.3700030494405558,0.521981264904761,0.022728292816358603,-3813.850993165744,7631.701986331488,1209,0.21921225143563294
AK,2020-07-12,9.718190672094247,184.87354519366312,8.294895233866129,0.3556309278064553,0.4938470809690181,0.02226921384971104,-3570.585771287053,7145.171542574106,1167,0.24128264512943426
AK,2020-07-19,9.719361180979867,191.93117668577023,9.040885465944115,0.4381174795499745,0.48558694752622805,0.024328776636990224,-2893.9595926689435,5791.919185337887,924,0.2356669575947401
AK,2020-07-26,9.541540142246626,179.395500665774,8.529325588468453,0.41407366736520834,0.48411536508813635,0.024216288218073038,-2848.0266536862887,5700.053307372577,926,0.2427737269232751
AK,2020-08-02,9.483316774114135,168.76905957400572,8.692285546347595,0.4107768974058466,0.5058626463256307,0.02529083468659825,-2911.238850725284,5826.477701450568,936,0.23055848935274567
AK,2020-08-09,9.401013095450532,199.16624391656887,8.866666926403337,0.47586112856787555,0.4761939784023212,0.025934527366279173,-2386.517234590635,4777.03446918127,769,0.24234047600100192
AK,2020-08-16,9.313795470226044,170.93681081795287,8.405912283706218,0.46226858906576296,0.48454253275108516,0.027729722931416456,-2212.694219290295,4429.38843858059,722,0.24419451011813958
AK,2020-08-23,9.334984706489083,153.8543868453085,9.103802317265945,0.561215536834569,0.5597064895921264,0.03811656262806163,-1588.7487124642262,3181.4974249284523,499,0.2030230749111493
AK,2020-08-30,9.228120910735269,212.64976547189764,9.629469351950336,0.5944945207285607,0.4664529504943494,0.02899217142395902,-1872.251365317201,3748.502730634402,590,0.23830193984522638
AK,2020-09-06,9.09365367206362,180.71661596373394,8.897367848582503,0.5243478405668399,0.46468417781361604,0.027930515212165427,-2022.8052608028668,4049.6105216057335,652,0.2477152694143205
AK,2020-09-13,8.937830793265608,180.9801136829471,7.838153207290281,0.5343724272896034,0.3651140243145652,0.0230834959296996,-1779.7221254064564,3563.4442508129127,617,0.3210163065796891
AK,2020-09-20,8.78068782101374,188.38492281717447,7.194141217606687,0.47104441259774654,0.4285434613535581,0.02806255103152877,-1661.1889164714737,3326.3778329429474,577,0.2912542107280467
AK,2020-09-27,8.653051242188292,180.0490378123264,8.200960467976913,0.5596985155478765,0.41070715256492263,0.027133833532230013,-1634.2916788885316,3272.583357777063,549,0.28656814462041846
AK,2020-10-04,8.438687683018982,195.51238628984976,7.9512201899969135,0.5198721876310454,0.40052248186413597,0.02481778279796575,-1798.139276149766,3600.278552299532,613,0.29624476564181385
AK,2020-10-11,8.279120986951797,182.25296166235822,6.770330639906429,0.47045006133979356,0.3860505190372313,0.025489163976980218,-1574.4400903551289,3152.8801807102577,567,0.323943224429609
AK,2020-10-18,8.053041078290342,175.7475333728716,7.465416074377409,0.5265140443295551,0.4027939926937877,0.02745860113983162,-1517.6088393664807,3039.2176787329613,526,0.3020482676961186
AK,2020-10-25,7.72610357825371,166.85755478762619,7.53006054556568,0.607621232644661,0.3839028862014585,0.029472217821455177,-1209.7485163707772,2423.4970327415544,421,0.312957469911372
AK,2020-11-01,7.620967311779488,179.71332165575436,6.485003436238127,0.6435858441361049,0.30998924654636195,0.027223897078579574,-905.5061886888069,1815.0123773776138,343,0.38401950685367514
AK,2020-11-08,7.32084528504001,151.4562602363616,7.085062464181888,0.5306978769767994,0.36548412550572984,0.025792055303313844,-1436.7451650912717,2877.4903301825434,513,0.33224959867553727
AK,2020-11-15,7.0908810228961965,156.5186669669407,6.214925297326042,0.4237557915683509,0.3385324088305447,0.021184117042436036,-1773.7561991289558,3551.5123982579116,670,0.3667352997601576
AK,2020-11-22,6.975238807889264,93.99410453876551,5.352484321403623,0.3653021763044522,0.33609537600574224,0.021759715862786643,-1718.525065786048,3441.050131572096,679,0.3864496752304322
