code,state,EstimatedSelCoeff,MD,SD,CV,IM,EstimatedSelCoeff_log_znorm,MD_log_znorm,SD_log_znorm,CV_log_znorm,IM_log_znorm
AK,Alaska,0.0326596002847711,8.33594727102335,13.52106473619,1.62471846711164,0.282380783415619,-1.59960904774018,0.309984280933789,0.457219608079089,-0.121345849683381,0.950969630892391
AL,Alabama,0.0522105615908252,9.26721290143391,14.1442466445907,1.53304682248647,0.22542763197396,0.301601772363748,0.919234899084855,0.903234578612532,-0.8973222486629,0.527505531549265
AR,Arkansas,0.0565942328629426,8.90545804757755,13.8415564517676,1.56024195667658,0.204932782317869,0.628323032342948,0.690169037577063,0.689106212878845,-0.662384275562434,0.348317569305373
AZ,Arizona,0.0634295124053009,8.3786071065434,13.2329636942105,1.58205310746424,0.306843027742037,1.09039707262004,0.339349463610718,0.244028482077334,-0.476898811996475,1.10715253218749
CA,California,0.0431958562997791,6.80679134756329,11.6858752893888,1.7223276157609,0.212378567292752,-0.466508740531653,-0.855851934888584,-0.986645323266355,0.658167009903751,0.415408553118287
CO,Colorado,0.0481227043639446,7.83867300106401,13.2179807137777,1.68942329923367,0.140454955619019,-0.0288008957660301,-0.0438551047551664,0.232814657272359,0.400439776785646,-0.361904579457296
CT,Connecticut,0.0268549581609666,6.18453775228274,11.2824811059849,1.83159458583589,0.089739927364358,-2.39263490236732,-1.40736228479906,-1.33437444551906,1.48001059907996,-1.20405122604206
DC,Washington DC,0.0466609110248083,4.15051835824494,8.56647577324314,2.07719465149854,0.160019330741385,-0.153809366178884,-3.7016784833924,-4.06035256200183,3.16125177606135,-0.116749267184609
DE,Delaware,0.0559246481504908,7.4939379677133,12.7924561708645,1.70920148211744,0.150743542368843,0.580090779396347,-0.302586953143519,-0.0910864311063173,0.555950148432403,-0.229007578136533
FL,Florida,0.0370700322481621,8.46081377015151,13.4813336274127,1.5978230577988,0.185744108749867,-1.08627957137708,0.395517690025061,0.428090623261872,-0.344374680559394,0.163499424289073
GA,Georgia,0.0618867489498323,8.70224603498658,13.6970578065634,1.58028287930802,0.237066429861799,0.990611868089894,0.557376607256384,0.585228502407906,-0.491857467728392,0.622142635973895
HI,Hawaii,0.046171681871313,7.73740050370723,12.4475707756632,1.60958210597742,0.101802592501723,-0.196523161830102,-0.118662932029707,-0.361612244587469,-0.246405025384264,-0.966956998174231
IA,Iowa,0.0437403487063665,9.02014652352919,13.8811022233434,1.54183514074702,0.217696993546568,-0.415745524909095,0.763782845799799,0.717346048267341,-0.820947499374405,0.461905912701101
ID,Idaho,0.0546736847074741,9.40442047685599,14.3534582206507,1.53006619537685,0.195200629268361,0.488412415046436,1.0037843878341,1.04857296020896,-0.92332480531132,0.256852019603038
IL,Illinois,0.0326900934767403,7.3410751411461,12.3926905303358,1.69501655062409,0.295531378719526,-1.59582713364799,-0.421146549595281,-0.405350079537024,0.444601826533375,1.03654057634646
IN,Indiana,0.050314606678306,8.87027449703579,13.7527838450329,1.55421786633799,0.208945228769676,0.151702569055756,0.667396044521527,0.625418281058677,-0.714071185954637,0.384769310461977
KS,Kansas,0.0472216064882348,8.93815380521893,13.7208434330782,1.54124074320779,0.160138938105309,-0.105403301614144,0.711251265957061,0.602402728945414,-0.82609935972148,-0.115344640253739
KY,Kentucky,0.0536960245955235,8.56015732895211,13.605883795788,1.5952755927421,0.190290827395449,0.41529108751747,0.462671042803772,0.519119603329924,-0.365693702640601,0.208962501213217
LA,Louisiana,0.0550038051521387,9.70075466659342,14.2735007196516,1.47655444587568,0.152531471941625,0.512807847846992,1.18225756665031,0.993278475251102,-1.39897498630997,-0.206841616250125
MA,Massachusetts,0.0375217504278342,6.07655752041549,11.1217696481053,1.83753486082137,0.0980554638821984,-1.03719622221791,-1.50869124975317,-1.47638497800944,1.52327345479669,-1.03745805245767
MD,Maryland,0.046251323555609,6.17214004185094,11.3201510150307,1.84282988572317,0.223530719785627,-0.189539024771092,-1.4189060451319,-1.30138062193738,1.56171923975669,0.511619642273772
ME,Maine,0.0395238479463559,7.05703219475892,12.1138439878079,1.71748681394467,0.0970290307191358,-0.826533605188039,-0.64815516602055,-0.630617712972478,0.620561293762357,-1.0572404855134
MI,Michigan,0.0438052672814074,6.97787712919493,12.2565245441969,1.76156774886848,0.170956253735574,-0.409735352200619,-0.713045662400611,-0.514712131392139,0.95915905864892,0.00753756546498551
MN,Minnesota,0.0522483713465524,6.76049935586624,11.9328741739659,1.77127146634493,0.153542053936065,0.304535437922128,-0.89510936000754,-0.779607059850877,1.03255746850363,-0.194427519019372
MO,Missouri,0.0645468171635605,8.48047816028814,13.2969048457315,1.57493474488945,0.228937350132021,1.16115992484471,0.40887261770109,0.29174215915023,-0.537151887320552,0.556548687198784
MS,Mississippi,0.0694765143238387,10.296085606633,14.940619326856,1.45925435827983,0.243986212886943,1.4594151781161,1.5248934348417,1.44542837757966,-1.55644463135713,0.676230222652305
MT,Montana,0.0471614554612573,9.47331316426575,14.3271469049006,1.51445480193844,0.227038120420877,-0.110568670470246,1.04577310342132,1.03041148723413,-1.0603491676456,0.540888162753132
NC,North Carolina,0.049797912422951,8.12933902602016,13.2080860081705,1.62926903416314,0.179323436067687,0.109871265678284,0.16560377899396,0.225402117080091,-0.0839760122488553,0.0973661743086375
ND,North Dakota,0.0454233425143251,9.98935675513331,14.6013196067178,1.46409065431743,,,,,,
NE,Nebraska,0.0729000606649742,9.26251845714085,14.3002300272841,1.54803367534139,0.225154808904352,1.6543429370576,0.916320007101573,1.01179747726014,-0.767340578987164,0.525228994851687
NH,New Hampshire,0.0353242448081767,6.94991270650574,12.13189997518,1.74899966053569,0.0717346330954044,-1.28176915997792,-0.736146707417757,-0.615874827266367,0.863491420737837,-1.62504297897863
NJ,New Jersey,0.0286940752611208,6.3205259662885,11.3513980808822,1.80174479096465,0.189007775665483,-2.12419694175923,-1.28223850040784,-1.27409555567052,1.26046919140707,0.196244104874389
NM,New Mexico,0.032559879016332,7.28850088068694,12.3260250962803,1.69556186721362,0.196012632784419,-1.61200166686001,-0.462494186284581,-0.458741632562519,0.44889962660089,0.264655938357351
NV,Nevada,0.0496100717902985,8.32082183965946,13.3368537156055,1.60803447522783,0.236268477840242,0.0945561215342305,0.299536489062858,0.32143618319551,-0.259258021616042,0.615804282846009
NY,New York,0.0334741717672891,7.0734788747686,11.9675676777984,1.69751820884012,0.12016668744931,-1.4997746579016,-0.634763705078474,-0.750870205354163,0.464306762840096,-0.655184177823561
OH,Ohio,0.059363550727672,8.48720892188018,13.4882008771274,1.59422073625787,0.307262365379319,0.821924117069819,0.413436652782765,0.433131500133968,-0.374531470178364,1.10971990403555
OK,Oklahoma,0.0805331630252828,9.17038900905057,13.9494863177447,1.52681802732444,0.205424920042549,2.05788856020041,0.858813679689227,0.765990159647565,-0.95171909124855,0.35282669197689
OR,Oregon,0.0404985772052709,6.77215339476106,11.9560111876732,1.76753705124754,0.134753068271579,-0.727804302280657,-0.885201017234158,-0.760433257595779,1.00435825631897,-0.439813550407633
PA,Pennsylvania,0.0481417167559461,7.97505411723812,13.0592756117162,1.64282331298867,0.177204245136449,-0.0272001466931129,0.0553737907623833,0.113247241557282,0.0267181289502467,0.0750176052249118
RI,Rhode Island,0.0387030167758122,6.89687210089978,11.9181970876702,1.73341846370673,0.132550568127538,-0.91158200607378,-0.780219345291358,-0.791789343388235,0.743929169054861,-0.470794068913433
SC,South Carolina,0.057822889455169,9.13956710724468,13.8955955864188,1.52478145198773,0.223661231882447,0.715360948636029,0.83944589586655,0.727675690691455,-0.969552908024457,0.512716940243133
SD,South Dakota,0.0705287429591,10.3502149749861,15.1565686995473,1.46822845567028,0.234380260296696,1.52033045835134,1.55505814093852,1.58747475712831,-1.4745285681365,0.600719980294853
TN,Tennessee,0.0557772655018013,8.39420397114564,13.5140414788153,1.61581048993313,0.211397083491477,0.569396825865624,0.350048359504504,0.452076718448255,-0.194803252802555,0.406700607903188
TX,Texas,0.0468481179024234,8.36432453553841,13.3192218009597,1.60153670486644,0.246291448464513,-0.137583005325403,0.329534642626967,0.30834134854892,-0.313357020499562,0.693908672589457
UT,Utah,0.0625423171681144,8.28470237665358,13.0877563611045,1.58326387050326,0.232134771367459,1.03331427598459,0.274510181977157,0.134811070439421,-0.466677344388011,0.582622571142667
VA,Virginia,0.0621462297096887,7.30845358046641,12.3595366197599,1.69572476675032,0.109426640336926,1.00756777087745,-0.44676714325638,-0.431866654683201,0.450183217529657,-0.831191922697236
VT,Vermont,0.0561657712218021,6.13765075447417,11.2510110517752,1.84433733696242,0.0114646604855523,0.597525831095879,-1.4511421139986,-1.36202258818669,1.57264424743454,-5.07224785816174
WA,Washington,0.0396155953473582,6.69173861611162,11.7245406646,1.75703436655493,0.082747610861617,-0.817137383147146,-0.95392017135755,-0.95394815183419,0.924730113660709,-1.35655099861907
WI,Wisconsin,0.0533399077411634,8.15286043652582,13.1711758414511,1.6192438418204,0.275333748076589,0.388325068810546,0.18222481087724,0.197702080526833,-0.166443124646415,0.903459592852494
WV,West Virginia,0.051064223945627,8.74744208648005,13.7669225216839,1.57682139027826,0.108940845706012,0.211633705955103,0.587176945015099,0.635589235186639,-0.521155975130524,-0.839556292539747
WY,Wyoming,0.0603301305535238,10.9109022108554,15.1966975530182,1.39371393129196,0.300282270766732,0.887376918549773,1.85854695302678,1.61364744126231,-2.17043283367972,1.06652127114433
